Rank,Last2 (1字+譜),Last3 (2字+譜),Last4 (3字+譜),Last5 (4字+譜),Last6 (5字+譜),Last7 (6字+譜),Last8 (7字+譜),Last9 (8字+譜)
750,,正清譜 (1),鐫詩牌譜 (1),,,,,
751,,毛登譜 (1),声腔調譜 (1),,,,,
752,,小山譜 (1),正燈正譜 (1),,,,,
753,,寺院譜 (1),那音樂譜 (1),,,,,
754,,山伝譜 (1),流貝之譜 (1),,,,,
755,,会繡譜 (1),日山之譜 (1),,,,,
756,,川灸譜 (1),流太鼓譜 (1),,,,,
757,,畫竹譜 (1),管弦按譜 (1),,,,,
758,,住持譜 (1),穏館樂譜 (1),,,,,
759,,窓自譜 (1),朗詠要譜 (1),,,,,
760,,興公譜 (1),姓名略譜 (1),,,,,
761,,篥箏譜 (1),学統略譜 (1),,,,,
762,,流箏譜 (1),中新古譜 (1),,,,,
763,,磨名譜 (1),士古新譜 (1),,,,,
764,,雲井譜 (1),徒目付譜 (1),,,,,
765,,御略譜 (1),頓戒脉譜 (1),,,,,
766,,野考譜 (1),聖逓代譜 (1),,,,,
767,,莚之譜 (1),泉寺略譜 (1),,,,,
768,,名硯譜 (1),水府役譜 (1),,,,,
769,,家新譜 (1),外戚略譜 (1),,,,,
770,,管絃譜 (1),斎牡丹譜 (1),,,,,
771,,篥案譜 (1),流伝法譜 (1),,,,,
772,,遠曲譜 (1),将軍宮譜 (1),,,,,
773,,輪説譜 (1),正俗楽譜 (1),,,,,
774,,蘆管譜 (1),西洋旗譜 (1),,,,,
775,,秦筝譜 (1),蔛蘭ノ譜 (1),,,,,
776,,略傳譜 (1),雪村所譜 (1),,,,,
777,,林歴譜 (1),千本刀譜 (1),,,,,
778,,院略譜 (1),禅林派譜 (1),,,,,
779,,佐竹譜 (1),義得略譜 (1),,,,,
780,,原藩譜 (1),州和尚譜 (1),,,,,
781,,法号譜 (1),大覚寺譜 (1),,,,,
782,,念誦譜 (1),図指南譜 (1),,,,,
783,,校略譜 (1),台家雑譜 (1),,,,,
784,,家経譜 (1),大蔵経譜 (1),,,,,
785,,書及譜 (1),密血脉譜 (1),,,,,
786,,州御譜 (1),鷹十巻譜 (1),,,,,
787,,印信譜 (1),多賀法譜 (1),,,,,
788,,類聚譜 (1),普明院譜 (1),,,,,
789,,寛永譜 (1),諸祖伝譜 (1),,,,,
790,,韻私譜 (1),将直孝譜 (1),,,,,
791,,至聖譜 (1),津軽秘譜 (1),,,,,
792,,執当譜 (1),辨津田譜 (1),,,,,
793,,津秘譜 (1),秦楽意譜 (1),,,,,
794,,家畧譜 (1),舞神楽譜 (1),,,,,
795,,寺歴譜 (1),回抔楽譜 (1),,,,,
796,,腔調譜 (1),今様墨譜 (1),,,,,
797,,燈正譜 (1),譜和琴譜 (1),,,,,
798,,音樂譜 (1),国鼓笛譜 (1),,,,,
799,,貝之譜 (1),聖楽私譜 (1),,,,,
800,,藩幹譜 (1),鐘調笙譜 (1),,,,,
801,,山之譜 (1),音義韻譜 (1),,,,,
802,,弦按譜 (1),通七段譜 (1),,,,,
803,,館樂譜 (1),居月琴譜 (1),,,,,
804,,詠要譜 (1),伝仮面譜 (1),,,,,
805,,名略譜 (1),言小舞譜 (1),,,,,
806,,神祇譜 (1),魚山私譜 (1),,,,,
807,,新古譜 (1),山集仮譜 (1),,,,,
808,,古新譜 (1),芥集仮譜 (1),,,,,
809,,目付譜 (1),魚山唄譜 (1),,,,,
810,,戒脉譜 (1),琴曲精譜 (1),,,,,
811,,寺略譜 (1),古詩聲譜 (1),,,,,
812,,府役譜 (1),楽器并譜 (1),,,,,
813,,戚略譜 (1),楽右舞譜 (1),,,,,
814,,伝法譜 (1),平志吟譜 (1),,,,,
815,,軍宮譜 (1),更衣笙譜 (1),,,,,
816,,洋旗譜 (1),二三重譜 (1),,,,,
817,,蘭ノ譜 (1),胡琴曲譜 (1),,,,,
818,,村所譜 (1),馬樂箏譜 (1),,,,,
819,,本刀譜 (1),鼓教練譜 (1),,,,,
820,,宣命譜 (1),東皋琴譜 (1),,,,,
821,,林派譜 (1),音曲笛譜 (1),,,,,
822,,和尚譜 (1),組合普譜 (1),,,,,
823,,覚寺譜 (1),オ聖歌譜 (1),,,,,
824,,指南譜 (1),大谷略譜 (1),,,,,
825,,家雑譜 (1),代々略譜 (1),,,,,
826,,蔵経譜 (1),竜笛実譜 (1),,,,,
827,,十巻譜 (1),代年号譜 (1),,,,,
828,,鷹羽譜 (1),唄曲辞譜 (1),,,,,
829,,賀法譜 (1),聲簡字譜 (1),,,,,
830,,明院譜 (1),禪師琴譜 (1),,,,,
831,,祖伝譜 (1),点取俳譜 (1),,,,,
832,,中国譜 (1),諧拾遺譜 (1),,,,,
833,,直孝譜 (1),家新俳譜 (1),,,,,
834,,軽秘譜 (1),宗因俳譜 (1),,,,,
835,,津田譜 (1),歳点俳譜 (1),,,,,
836,,詰衆譜 (1),藥草畧譜 (1),,,,,
837,,踏歌譜 (1),山点俳譜 (1),,,,,
838,,楽意譜 (1),南無俳譜 (1),,,,,
839,,抔楽譜 (1),果点俳譜 (1),,,,,
840,,様墨譜 (1),留点俳譜 (1),,,,,
841,,楽私譜 (1),,,,,,
842,,調笙譜 (1),,,,,,
843,,義韻譜 (1),,,,,,
844,,七段譜 (1),,,,,,
845,,音楽譜 (1),,,,,,
846,,古楽譜 (1),,,,,,
847,,小舞譜 (1),,,,,,
848,,山私譜 (1),,,,,,
849,,山唄譜 (1),,,,,,
850,,御遊譜 (1),,,,,,
851,,琴歌譜 (1),,,,,,
852,,曲精譜 (1),,,,,,
853,,詩聲譜 (1),,,,,,
854,,器并譜 (1),,,,,,
855,,志吟譜 (1),,,,,,
856,,衣笙譜 (1),,,,,,
857,,三重譜 (1),,,,,,
858,,琴曲譜 (1),,,,,,
859,,胡琴譜 (1),,,,,,
860,,国楽譜 (1),,,,,,
861,,樂箏譜 (1),,,,,,
862,,教練譜 (1),,,,,,
863,,皋琴譜 (1),,,,,,
864,,濱荻譜 (1),,,,,,
865,,合普譜 (1),,,,,,
866,,聖歌譜 (1),,,,,,
867,,谷略譜 (1),,,,,,
868,,々略譜 (1),,,,,,
869,,無双譜 (1),,,,,,
870,,笛実譜 (1),,,,,,
871,,虫雕譜 (1),,,,,,
872,,年号譜 (1),,,,,,
873,,曲辞譜 (1),,,,,,
874,,官子譜 (1),,,,,,
875,,簡字譜 (1),,,,,,
876,,師琴譜 (1),,,,,,
877,,取俳譜 (1),,,,,,
878,,拾遺譜 (1),,,,,,
879,,新俳譜 (1),,,,,,
880,,因俳譜 (1),,,,,,
881,,草畧譜 (1),,,,,,
882,,無俳譜 (1),,,,,,
883,,佐埜譜 (1),,,,,,
884,,茘枝譜 (1),,,,,,
