Rank,Last2 (1字+譜),Last3 (2字+譜),Last4 (3字+譜),Last5 (4字+譜),Last6 (5字+譜),Last7 (6字+譜),Last8 (7字+譜),Last9 (8字+譜)
113,跡譜 (4),列国譜 (4),今紅葉譜 (3),博物館介譜 (2),秋楽宗明楽譜 (1),久元治年間日譜 (1),秋楽蘇合香大曲譜 (1),
114,鞠譜 (4),楽歌譜 (4),神樂歌譜 (3),麗楽仮名譜 (2),只拍子仮名譜 (1),下沖縄島草木譜 (1),秘譜并採桑老舞譜 (1),
115,田譜 (4),笛略譜 (4),秦曲笛譜 (3),楽附物案譜 (2),打球楽仮名譜 (1),古人肖像図絵譜 (1),楽鳳笙琵琶対照譜 (1),
116,続譜 (4),断続譜 (4),箏要録譜 (3),龍笛要録譜 (2),馬楽高麗楽譜 (1),譜並小調子密譜 (1),晴唐楽篳篥仮名譜 (1),
117,箋譜 (4),笛古譜 (4),釈迦氏譜 (2),琵琶秘曲譜 (2),越調曲仮名譜 (1),再興以来新作譜 (1),基風俗神楽歌舞譜 (1),
118,中譜 (4),閣琴譜 (4),和漢硯譜 (2),伝八雲琴譜 (2),破西王楽破譜 (1),鹿児島県草木譜 (1),蘭陵王荒序鳳笙譜 (1),
119,法譜 (4),調子譜 (4),川侯蓮譜 (2),方舞曲按譜 (2),和楽十天楽譜 (1),本阿弥三家刀譜 (1),羅陵王荒序舞秘譜 (1),
120,筝譜 (4),三鼓譜 (4),刀茎銘譜 (2),新渡大錢譜 (2),安名尊席田譜 (1),皇大神官禰宜譜 (1),陵王破新羅陵王譜 (1),
121,全譜 (4),松勝譜 (4),名物椿譜 (2),明清樂歌譜 (2),並六調子曲譜 (1),曲洋峨撫箏雅譜 (1),臨時祭舞人輪作譜 (1),
122,島譜 (4),茂公譜 (4),太平鶴譜 (2),遏雲閣曲譜 (2),旋陵王荒序譜 (1),藤岡鬼彌太建譜 (1),烈公御作古言調譜 (1),
123,神譜 (4),觱篥譜 (4),西園蕈譜 (2),二黄尋聲譜 (2),催馬楽琵琶譜 (1),近親得度者略譜 (1),歌披講並郢曲墨譜 (1),
