id,title,matched_pattern,reason
https://jpsearch.go.jp/data/adeac-R100000094_I000141444_00,諸士系譜 巻之60 と之部3,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141445_00,諸士系譜 巻之61 と之部4,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141446_00,諸士系譜 巻之62 と之部5,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141447_00,諸士系譜 巻之64 と之部7,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141448_00,諸士系譜 巻之65 ち之部1,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141449_00,諸士系譜 巻之67 を之部1,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141450_00,諸士系譜 巻之68 を之部2,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141451_00,諸士系譜 巻之69 を之部3,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141452_00,諸士系譜 巻之70 を之部4,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141453_00,諸士系譜 巻之71 を之部5,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141454_00,諸士系譜 巻之72 を之部6,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141455_00,諸士系譜 巻之73 を之部7,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141456_00,諸士系譜 巻之74 を之部8,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141457_00,諸士系譜 巻之75 を之部9,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141458_00,諸士系譜 巻之76 を之部10,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141459_00,諸士系譜 巻之77 を之部11,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141460_00,諸士系譜 巻之78 を之部12,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141461_00,諸士系譜 巻之79 を之部13,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141462_00,諸士系譜 巻之80 を之部14,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141463_00,諸士系譜 巻之81 を之部15,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141464_00,諸士系譜 巻之82 を之部16,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141465_00,諸士系譜 巻之83 を之部17,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141466_00,諸士系譜 巻之84 を之部18,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141467_00,諸士系譜 巻之85 を之部19,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141468_00,諸士系譜 巻之86 を之部20,諸士,N-Gramルール除外: 「諸士」
