Rank,Bi-gram,Bi-Count,Tri-gram,Tri-Count,Tetra-gram,Tetra-Count,Penta-gram,Penta-Count
43,蘇合,39,譜2巻,19,濟譜25,11,無間鐘梅枝,8
44,／他,39,太平記,19,譜25卷,11,間鐘梅枝伝,8
45,押譜,38,浄瑠璃,18,魏氏楽譜,11,鐘梅枝伝譜,8
46,太夫,38,竜笛要,18,名手本忠,11,撫箏雅譜大,8
47,雅楽,37,竜笛仮,18,正燈世譜,11,箏雅譜大成,8
48,歌譜,37,調曲譜,18,よしこの,11,雅譜大成抄,8
49,菊譜,36,譜巻之,18,填詞図譜,11,手本忠臣蔵,8
50,合香,36,〔謡本,18,伝実録1,11,小野道風青,8
51,高麗,36,節正本,17,箏治要2,11,野道風青柳,8
52,子曲,36,笛要録,17,治要20,11,道風青柳硯,8
53,他四,36,壱越調,17,要20巻,11,どどいつ・,8
54,うた,35,大意抄,17,夫正本1,11,神楽催馬楽,8
55,物語,34,粟嶋譜,16,釋迦譜要,10,弘法大師弟,8
56,律呂,34,嶋譜嫁,16,梅枝伝譜,10,法大師弟子,8
57,案譜,33,和琴譜,16,暗射指南,10,大師弟子譜,8
58,目録,32,神楽歌,16,射指南譜,10,觀世流謡本,8
59,問答,32,盤渉調,16,説文解字,10,梅山種茶譜,7
60,八雲,31,いせい,16,津絵ぶし,10,韻勝園梅譜,7
61,伝授,31,流謡本,16,蘇合香万,10,蘇合香一具,7
62,要録,31,仮面譜,15,合香万秋,10,帝破陣楽団,7
63,譜巻,31,指南譜,15,香万秋楽,10,破陣楽団乱,7
64,雲琴,30,大津絵,15,只拍子譜,10,陣楽団乱旋,7
65,舞譜,30,楽問答,15,箏曲大意,10,譜代家督留,7
66,要略,29,けいせ,15,曲大意抄,10,百菊譜2巻,7
67,の段,29,竜笛譜,14,北詞広正,10,五知齋琴譜,7
68,秋楽,28,譜代家,14,詞広正譜,10,知齋琴譜8,7
69,篥譜,28,本忠臣,14,広正譜巻,10,齋琴譜8卷,7
70,忠臣,28,馬楽譜,14,求古図譜,9,神器譜5卷,7
71,太鼓,28,物図譜,13,浪華擷芳,9,太平記忠臣,7
72,いつ,28,山図譜,13,華擷芳譜,9,平記忠臣講,7
73,子譜,28,菅原伝,13,石檠図譜,9,記忠臣講釈,7
