Rank,Last2 (1字+譜),Last3 (2字+譜),Last4 (3字+譜),Last5 (4字+譜),Last6 (5字+譜),Last7 (6字+譜),Last8 (7字+譜),Last9 (8字+譜)
96,史譜 (11),要録譜 (20),西洋銭譜 (14),代名公画譜 (7),歌仙貝合画譜 (5),大全惣領家系譜 (2),蔵頭治政以来系譜 (2),高麗曲並六調子曲譜 (1)
97,畧譜 (11),堂印譜 (20),催馬楽譜 (14),斎写真画譜 (7),古今金銀銭譜 (5),大全山下家系譜 (2),集師資相承血脈譜 (2),破陣楽春鶯囀皇麞譜 (1)
98,濟譜 (11),文禽譜 (19),將軍家譜 (14),都名所画譜 (7),白圃艸木画譜 (5),大全藤川家系譜 (2),守山侯宍戸侯印譜 (2),楽団乱旋陵王荒序譜 (1)
99,皷譜 (11),館魚譜 (19),何氏宗譜 (13),獣魚貝図譜 (7),縣市鎭氏宗譜 (5),物印満本草図譜 (2),琵琶弾法口伝秘譜 (2),調盤渉調大食調曲譜 (1)
100,臣譜 (11),長画譜 (18),朱氏宗譜 (13),梅山種茶譜 (7),秦郵居氏家譜 (5),戸田松平家系譜 (2),万国暗射図指南譜 (2),内証仏法相承血脈譜 (1)
101,四譜 (11),花図譜 (18),大師年譜 (13),韻勝園梅譜 (7),芝陽王氏族譜 (5),野桂叢草木葉譜 (2),田徳川世良田家譜 (2),外記先祖并武功之譜 (1)
102,正譜 (11),樹画譜 (18),吾嬬箏譜 (13),本浩然菌譜 (7),西門汪氏族譜 (5),国朝明郡内菌譜 (2),國師雲居和尚年譜 (2),全図并各国舶旗図譜 (1)
103,艶譜 (10),玉圖譜 (18),田續家譜 (12),湮解剖図譜 (7),鹿氏續修家譜 (5),平九郎先生介譜 (2),萬國暗射圖指南譜 (2),軒川本幸民先生年譜 (1)
104,橘譜 (10),調曲譜 (18),狂詩画譜 (12),五知齋琴譜 (7),曹氏重修宗譜 (5),断花園牽牛花譜 (2),本全圖暗射指南譜 (2),御手伝諸大名衆名譜 (1)
105,貝譜 (10),種画譜 (17),国師年譜 (12),時勝概画譜 (7),闇斎先生年譜 (5),鮫類漁貝類図譜 (2),宮城縣全圖暗射譜 (2),山王府相卿傳職年譜 (1)
106,字譜 (10),琳画譜 (17),栗氏虫譜 (12),臨華氏宗譜 (7),斎書画落款譜 (5),勝寺歴代御系譜 (2),本朝畫家落款印譜 (2),山王府相郷伝職年譜 (1)
107,調譜 (10),竹画譜 (17),二公年譜 (12),陵沙氏族譜 (7),海陸道中画譜 (5),錦窠穀精草科譜 (2),本朝尊卑分脈系譜 (2),之内宮内正祝権祝譜 (1)
108,勝譜 (10),老画譜 (17),稀世泉譜 (12),呉朱氏宗譜 (7),國家金銀銭譜 (5),曲蘇合香竜笛譜 (2),開山聖一國師年譜 (2),至桜町院皇子女略譜 (1)
109,真譜 (10),人系譜 (17),扶桑画譜 (12),竹朱氏族譜 (7),坪本流善御譜 (5),産木類写生図譜 (2),学天文指南並雪譜 (2),刊正文対音捷要琴譜 (1)
110,埜譜 (10),窠竹譜 (17),天堂算譜 (12),米庵蔵筆譜 (7),鎌倉將軍家譜 (5),親王家門室系譜 (2),製五七言狂詩画譜 (2),遊神樂催馬楽風俗譜 (1)
111,尺譜 (10),臣家譜 (17),本庄家譜 (12),徳禅寺世譜 (7),京都將軍家譜 (5),島原松平家系譜 (2),小金原御狩太鼓譜 (2),蘇合香萬秋楽假名譜 (1)
112,硯譜 (9),世画譜 (16),先生画譜 (11),書画人名譜 (7),新撰寛永泉譜 (5),地本錦絵問屋譜 (2),聚助語二百義字譜 (2),常楽台存覚上人年譜 (1)
113,獣譜 (9),川画譜 (16),融斎画譜 (11),形流略印譜 (7),明治新撰泉譜 (5),尭恭法親王年譜 (2),政度御書上御系譜 (1),聖書院合薬房略方譜 (1)
114,管譜 (9),人参譜 (16),百鳥画譜 (11),盤渉調曲譜 (7),松雲公御年譜 (5),田流外能楽笛譜 (2),政四年子七月系譜 (1),十三次北斎道中画譜 (1)
115,筆譜 (9),粟嶋譜 (16),文川画譜 (11),催馬楽略譜 (7),文鳳山水画譜 (4),村伊藤起立系譜 (2),家一門并六家系譜 (1),靄隆近世四大家画譜 (1)
116,小譜 (9),大系譜 (16),氏千虫譜 (11),本撰釋迦譜 (6),全中村家系譜 (4),川合戦前後略譜 (2),雅堂山水樹石画譜 (1),幡鳥取池田忠継家譜 (1)
117,巌譜 (9),和琴譜 (16),玉堂琴譜 (11),須賀氏系譜 (6),和家坂東系譜 (4),四親王家御系譜 (2),袖珍必携諸職画譜 (1),信濃守政言ヨリ系譜 (1)
118,香譜 (9),紗図譜 (15),介虫図譜 (11),潜竜堂画譜 (6),河屋市川系譜 (4),山人帰去来印譜 (2),新鐫七言唐詩画譜 (1),千石被仰蒙御残御譜 (1)
119,方譜 (9),仮面譜 (15),衆評泉譜 (11),絢山水画譜 (6),全高島家系譜 (4),俊卿催馬楽秘譜 (2),対山先生山水画譜 (1),忠章上書池田家系譜 (1)
120,ノ譜 (9),花鳥譜 (15),窪動物譜 (11),斎永濯画譜 (6),小佐川家系譜 (4),大嘗会田舞歌譜 (2),園草木図譜海草譜 (1),公儀之御指出御系譜 (1)
121,氏譜 (8),指南譜 (15),水谷虫譜 (11),中村家系譜 (6),全吾妻家系譜 (4),合香一具仮名譜 (2),平安名家文化画譜 (1),治政様御代迄御系譜 (1)
122,草譜 (8),葉蘭譜 (14),錦窠蟹譜 (11),市川家系譜 (6),全中島家系譜 (4),香万秋楽仮名譜 (2),大雲寺諸堂并系譜 (1),伊予守綱政以来系譜 (1)
123,包譜 (8),川系譜 (14),孫氏宗譜 (11),一国師年譜 (6),天王寺家系譜 (4),拍子譜并三皷譜 (2),英國板鰓魚類圖譜 (1),斉政様御世迄御系譜 (1)
124,器譜 (8),竜笛譜 (14),君御年譜 (11),屋漏堂花譜 (6),益軒先生年譜 (4),楽鳥破只拍子譜 (2),大慧普覺禪師年譜 (1),松平備後守恒元系譜 (1)
125,伝譜 (8),洋銭譜 (14),和漢研譜 (11),湖傅氏宗譜 (6),萬象寫眞圖譜 (4),子譜及催馬楽譜 (2),万秋楽口伝仮名譜 (1),儀之御差出之御系譜 (1)
126,営譜 (8),馬楽譜 (14),魏氏楽譜 (11),十一世支譜 (6),水戸威公年譜 (4),壱越調平調曲譜 (2),春鶯囀万秋楽本譜 (1),岡山住御同姓方系譜 (1)
127,歴譜 (8),物図譜 (13),填詞図譜 (11),鐘梅枝伝譜 (6),王氏統宗世譜 (4),諸調子品橃合譜 (2),陣楽団乱旋復訳譜 (1),等の住御同姓方系譜 (1)
128,屋譜 (8),山図譜 (13),寺藩臣譜 (11),竹齋書畫譜 (6),巌印章花押譜 (4),高麗竜外五曲譜 (2),陣楽団乱旋国字譜 (1),等侯爵池田章政年譜 (1)
129,王譜 (8),横笛譜 (13),笠沢印譜 (11),国旗章図譜 (6),卿行状並系譜 (4),鑑合戦之巻略譜 (2),団乱旋校合竜笛譜 (1),歌集師資相承血脈譜 (1)
130,仮譜 (8),詞図譜 (13),蘭菊四譜 (11),諸門跡系譜 (6),催馬楽附物譜 (4),公孫花山院系譜 (2),陣楽団乱旋竜笛譜 (1),掃素館田順先生印譜 (1)
131,合譜 (7),堂算譜 (13),美術図譜 (11),字五音韻譜 (6),合香万秋楽譜 (4),家玉城朝薫家譜 (2),陣楽団乱旋篳篥譜 (1),先生飲中八仙歌印譜 (1)
132,葉譜 (7),嬬箏譜 (13),名公扇譜 (10),訂撫箏雅譜 (6),万国舶旗図譜 (4),調曲及延喜楽譜 (2),宋紫石四君子画譜 (1),倉藩由比氏其他印譜 (1)
133,の譜 (7),續家譜 (12),鶯邨画譜 (10),大師弟子譜 (6),雪斎運金図譜 (4),黄鐘調盤渉調譜 (2),しとんち早席画譜 (1),知味斎所蔵古鋳印譜 (1)
134,顔譜 (7),邨画譜 (12),名所画譜 (10),戦前後略譜 (6),万秋楽仮名譜 (4),對捷要真伝琴譜 (2),中巌月和尚自歴譜 (1),斉修斉昭慶篤等印譜 (1)
